,processed_text
35,introduction december emergence new coronavirus disease  covid- begin wuhan china disease spread rapidly world  million register case worldwide number exponentially increase india  million register case end comorbiditie obesity increase risk hospitalization covid- infection relate immune system dysfunction epidemiological picture covid- change rapidly important discuss pattern clinical manifestation association comorbiditie conduct observational study tertiary care center north india method materials conduct hospital base prospective observational study dedicated covid- ward icu tertiary care center north india sample size  positive patient male female divide patient study different age group  year year  year patient age  year bmi kg m exclude study result  patient  .% develop severe covid- few number patient develop severe covid- normal weight group obese patient progress severe case show adjust age compare normal weight group overweight .-fold chance develop severe covid- p obese .-fold chance develop disease ors p  gender distribution association appear strong man woman similar adjustment or overweight obese patient compare normal weight patient p p female male respectively conclusion study show obese patient bmi great equal high risk develop covid- severity especially male population severity relate comorbid condition study patient chronic obstructive pulmonary disease copd gi liver disease obese severity relatively low conclusion obese male patient comorbiditie likely develop severe covid- infection
36,background prospective population base study investigate multiple determinant pre vaccination antibody response sars cov- lack method prospective population base study sars cov- vaccine naive uk adult recruit  november positive swab test result sars cov- prior enrolment information  potential sociodemographic behavioural nutritional clinical pharmacological risk factor obtain online questionnaire combined igg iga igm response sars cov- spike glycoprotein determine dry blood spot obtain november april logistic linear regression estimate adjusted odd ratio aors adjust geometric mean ratio agmrs potential determinant sars cov- seropositivity participant antibody titre seropositive participant respectively result participant  .% seropositive factor independently associate high risk sars cov- seropositivity include frontline health care occupation aor ci international travel .- number visit shop indoor public place  vs. .- p trend body mass index bmi /=  vs. /= vs.  unit week light physical exercise associate low risk .-  vs. h week seropositive participant high titre anti spike antibody associate factor include bmi /=  vs. /=  vs. .- p trend association substantially attenuate adjustment covid- disease severity conclusion high alcohol consumption low light physical exercise represent new modifiable risk factor sars cov- infection recognise association south asian ethnic origin obesity high risk sars cov- seropositivity independent sociodemographic behavioural nutritional clinical pharmacological factor investigate seropositive participant high titre anti spike antibody people south asian ancestry obese people explain great covid- disease severity group
37,introduction coronavirus disease  covid- associate high rate morbidity mortality primary hypothyroidism common comorbid condition little know association covid- severity outcome study aim identify frequency hypothyroidism hospitalize patient covid- describe difference outcome patient pre existing hypothyroidism observational multinational registry method observational cohort study enrol patient  year old laboratory confirm severe acute respiratory syndrome coronavirus- infection march  february primary outcome disease severity define world health organization scale clinical improvement ordinal outcome correspond high severity level record patient index covid- hospitalization hospital mortality hospital free day secondary outcome rate intensive care unit icu admission icu mortality result adult patient include study pre existing hypothyroidism identify  .% median age hypothyroidism group  interquartile range year female white common comorbiditie hypertension diabetes dyslipidemia obesity adjust age body mass index sex admission date quarter year march race smoking history comorbid condition coronary artery disease hypertension diabetes dyslipidemia pre existing hypothyroidism associate high odd severe disease world health organization disease severity index odd ratio confidence interval ci p hospital mortality ci p difference hospital free day estimate difference day ci p pre exist hypothyroidism associate icu admission icu mortality unadjusted adjust analysis conclusion international registry hypothyroidism identify   adult hospitalize patient covid- pre exist hypothyroidism hospitalize patient covid- associate high disease severity increase risk mortality icu admission research possible effect covid- thyroid gland function need future
38,background immunomodulatory therapy explore manage dysregulated immune response see severe covid- infection objective study evaluate efficacy intravenous immunoglobulin ivig severe critical covid- disease method retrospective study include  patient severe critical covid- admit intensive care unit icu tertiary care hospital  december primary outcome percentage patient require mechanical ventilation secondary outcome hospital mortality b -day mortality c icu length stay icu los d day discontinuation supplemental oxygen e day covid pcr negativity logistic regression linear regression perform adjusted unadjusted analysis result analyze total  patient  .% receive ivig standard treatment  .% receive standard treatment group similar term covid- severity apache ii score oxygen requirement initial management requirement invasive ventilation significantly ivig group compare non ivig group .% vs .% p /= year obesity associate well outcome need mechanical ventilation hospital mortality p ivig administration patient chronic respiratory disease associate reduce requirement mechanical ventilation p insignificant improvement mortality conclusion high dose ivig improve outcome severe critical covid- patient study underscore importance timing patient selection administer ivig
39,metabolomics target untargeted gold standard biomarker discovery target approach provide information select marker hamper determination box marker common bottleneck untargeted metabolomic identification detect biomarker study develop strategy base derivatization lc ms ms detection precursor ion scan untargeted determination specific metabolome carbonyl contain metabolite usefulness guide metabolomic approach demonstrate elucidate carbonyl contain biomarker covid- severity lc ms ms behavior  model compound o benzylhydroxylamine derivatization study precursor ion scan m z  select suitable approach untargeted detection carbonyl contain metabolite method able detect approximately  potential carbonyl contain molecule plasma include mono-/di-/tricarbonylic compound satisfactory intra day inter day repeatability rsd commonly additionally semiquantitative nature precursor ion scan method confirm comparison fully validate target method application guide metabolomics method covid- plasma sample reveal presence potential covid- severity biomarker base lc ms ms behavior biomarker elucidate -hydroxybutyrate -dihydroxybutyrate -oxobutyrate -hydroxy methylbutyrate structure confirm comparison reference material alteration biomarker covid- severity confirm target analysis large set sample result confirm guide metabolomics alternative approach untargeted detection select family metabolite approach accelerate elucidation provide new perspective establishment health disease biomarker
40,background coronavirus disease covid- remain global health problem covid- patient severe pneumonia high risk critical illness complicate acute respiratory distress syndrome inflammatory response critical cytokine storm increase severity covid- factor associate cytokine storm incompletely understand study present characteristic covid- patient explore clinical inflammatory parameter severe critically ill covid- patient intensive care unit icu method cross sectional study conduct severe covid- patient admit icu peripheral blood take laboratory examination  hour admission haematologic parameter serum electrolyte renal function liver function pancreas enzyme d dimer inflammatory cytokine interferon ifn)-gamma tumour necrosis factor tnf)-alpha interleukin il)- il- monocyte chemoattractant protein- mcp- c reactive protein crp assess study comparative analysis sex exist comorbiditie body mass index bmi covid- vaccination status result total  subject include study frequent comorbiditie find subject obesity diabetes .% subject vaccinate laboratory result indicate leucocytosis neutrophilia neutrophil lymphocyte ratio nlr mean inflammatory finding il- il- tnf alpha ifn gamma mcp- d dimer crp lipase increase lipase level high man p comorbidity group significant difference find different bmi group lipase il- mcp- level significantly high p=. respectively non vaccinated group conclusion patient severe covid- comorbiditie increase inflammatory marker
41,ongoing coronavirus disease  covid- pandemic call identification risk factor help identify people enhance risk severe disease outcome improve treatment possible establish prophylactic measure study aim determine individual obesity compare individual normal weight increase risk severe covid- conduct systematic literature search pubmed embase cochrane library critically secondary literature amstar- explore  study finding indicate individual obesity body mass index  kg m compare individual obesity experience increase risk hospitalization odd ratio admission intensive care unit invasive mechanical ventilation composite outcome severe outcome risk ratio find diverge result concern death covid- datum trend increase mortality compare individual obesity individual obesity finding suggest young individual /= year obesity augment severity covid- include tendency increase mortality contribute increase disease burden especially young individual
42,introduction recent global pandemic coronavirus disease  covid- cause severe acute respiratory syndrome coronavirus  sars cov- involve  million people worldwide associate death clear information know potential risk factor covid- factor adversely influence clinical course mortality analyze role obesity type  diabetes hypertension risk factor covid- method identify article inclusion search pubmed google scholar access  june retrospective review literature analysis epidemiological datum concern obesity prevalence covid- incidence particularly italy usa results datum retrospective study prevalence show patient hypertension type  diabetes obesity severe covid- intensive care unit admission high mortality rate definitively clear independent association general prevalence obesity patient covid- general population world obesity associate severe disease mortality young  year strict connection propose use drug inhibit angiotensin convert enzyme  ace- dipeptidyl dipeptidase  dpp- influence viral activity disease severity ace- dpp- receptor mediate sars cov- entry host cell evidence exist date show case conclusion overall diabetes hypertension obesity negatively affect clinical course disease outcome patient covid- datum need confirmation study accurate data registration
43,background alpha variant b lineage sars cov- emerge dominant circulate variant uk late current literature unclear alpha variant associate increase severity link clinical datum viral genome sequence datum compare admit case sars cov- wave london investigate association alpha variant severity disease method clinical demographic laboratory viral sequence datum electronic health record system collect case positive sars cov- rna test  march   february  multisite london healthcare institution multivariate analysis logistic regression assess risk factor severity define hypoxia admission result  sars cov- rna positive case  admit wave   wave wave temporally align rise nosocomial case wave   wave alpha variant identify  november  increase rapidly comprise sequence isolate admit case wave multivariate analysis identify risk factor severity admission age ci year old p obesity ci p infection alpha variant ci p conclusion analysis hospitalise cohort increase severity disease associate alpha variant number nosocomial case similar wave despite introduction infection control intervention wave
44,importance understanding sars cov- infection child limit lack large multicenter study granular datum objective examine characteristic change time outcome severity risk factor child sars cov- national covid cohort collaborative nc design setting participant prospective cohort study encounter end date september conduct  nc facility participant include child young  year initial sars cov- testing main outcomes measures case incidence severity time demographic comorbidity severity risk factor vital sign laboratory trajectory clinical outcome acute covid- vs multisystem inflammatory syndrome child mis c delta vs pre delta variant difference child sars cov- result total  child test sars cov-  test result .% positive girl median age iqr year  child .% hospitalize  .% meet criterion severe disease mechanical ventilation vasopressor inotropic support extracorporeal membrane oxygenation .% death male sex odd ratio ci .- black african american race ci .- obesity ci .- pediatric complex chronic condition pccc subcategorie associate high severity disease vital sign laboratory test value day admission predictive peak disease severity variable associate increase odd mis c vs acute covid- include male sex ci .- black african american race ci .- young  year ci .- obesity ci .- have pediatric complex chronic condition ci child mis c inflammatory laboratory profile severe clinical phenotype high rate invasive ventilation  vs   p need vasoactive inotropic support  vs   p compare acute covid- compare child delta vs pre delta era significant change hospitalization rate vs  p low odd severe disease vs  decrease factor ci p conclusion relevance cohort study child sars cov- observe difference demographic characteristic preexist comorbiditie initial vital sign laboratory value severity subgroup take result suggest early identification child likely progress severe disease achieve readily available data element day admission work need translate knowledge improve outcome
45,background coronavirus disease  covid- important global issue december clinical course covid- know mild child adult associate hospitalization child increase emergence contagious severe acute respiratory syndrome coronavirus  sars cov- variant achievement high vaccination rate adult consider global domestic situation believe risk stratification child covid- urgently need decision making hospitalization priority child infect sars cov- vaccination priority covid- method systematic review meta analysis perform comprehensively search pubmed embase scopus koreamed database august criterion enrollment severe covid- poor outcome intensive care unit admission invasive mechanical ventilation and/or death underlie comorbiditie sars cov- infection result  screen study  article include systematic review  article include meta analysis neonate risk ratio rr confidence interval ci .- prematurity young infant rr ci .- obesity rr ci .- diabetes rr ci .- chronic lung disease rr ci .- heart disease rr ci .- neurologic disease rr ci .- immunocompromised status rr ci .- significant risk factor severe covid- child subgroup analysis age young  month rr ci .- asthma rr ci .- neurodevelopmental disorder rr ci .- risk factor severe covid- conclusion child comorbiditie obesity diabetes heart disease chronic lung disease asthma seizure disorder immunocompromised status high prevalence severe covid- neonate premature infant high risk severe covid- define high risk group severe covid- help guide hospital admission priority vaccination sars cov-
46,introduction emerge datum demonstrate increase mortality covid- patient suffer comorbid condition type ii diabetes hypertension cardiovascular disease underlie risk patient increase bodyweight obesity adverse health effect obesity factor enhance risk mortality covid- patient unexplored objective enhance fat deposition risk factor increase mortality covid- patient method collect information online database pubmed google scholar researchgate highlight systematic link obesity associated risk covid- result report study pandemic france new york currently report study mexico find individual bmi kg m kg m great risk develop critical illness covid- increase mortality conclusion study suggest obesity childhood adolescence adulthood consider profound risk factor great susceptibility severity covid- associate nutritional lifestyle cardiac respiratory renal immunological alteration potentiate complication sars cov- infection suggest check bmi pandemic situation
47,background coronavirus disease  covid- pandemic cause million death new treatment urgently need factor associate bad covid- prognosis include old age  year ethnicity male sex obesity people comorbiditie furthermore vitamin d deficiency report predictor poor prognosis patient acute respiratory failure covid- accord recent clinical case series vitamin d deficiency modifiable risk factor prospect reduce hospital stay intensive care fatal outcome vitamin d potent immunomodulatory property supplementation improve important outcome critically ill vitamin d deficient covid- patient despite evidence support association vitamin d deficiency covid- severity uncertainty direct link aim trial assess high dose vitamin d supplementation therapeutic effect vitamin d deficient patient covid- method trial design randomized placebo control double blind multi center approach choose compare high single dose vitamin d iu follow treatment usual tau vitd tau treatment usual placebo tau patient covid- vitamin d deficiency discussion vitamin d substitution patient covid- vitamin d deficiency investigate efficacy safety study aim test hypothesis patient vitamin d deficiency suffer covid- treat standardized condition hospital recover fast additionally treat high dose vitamin d supplementation late study suggest vitamin d supplementation patient covid- highly recommend positively influence course disease randomized control trial contribution new treatment guideline shall trial registration clinicaltrials.gov nct snctp
48,background infection sars cov- virus produce human disease highly variable unpredictable severity presence frequent genetic single nucleotide polymorphism snps population lead great susceptibility infection exaggerated inflammatory response sars cov- require presence ace protein enter cell ace regulator renin angiotensin system accordingly study association  snp agtr ace ace gene severity disease produce sars cov- virus method  aged .+/- year male covid- patient group base severity symptom outpatient n .% hospitalize ward n .% intensive care unit icu n .% deceased n .% comorbidity datum diabetes hypertension obesity lung disease cancer collect adjustment genotype distribution  select snp severity group analyze result snp ace associate severity disease rs andrsshowe protector effectassume overdominant model inheritance g vs. gg aa ci p g vs. aa gg ci p respectively snp rs rswere associate increase risk hospitalize severity course disease recessive model inheritance c c vs. t c t t ci p vs. gg g ci p expect old age male gender comorbiditie increase risk admit icu death vs benign outpatient course multivariable analysis demonstrate role certain genotype ace severity covid- rs rs rs r respectively hardy weinberg equilibrium hospitalize group d snp ace show p association disease association covid- disease different agtr snp evidence multivariable genotype rs show high hospitalization risk patient comorbiditie conclusion different genetic variant ace associate severe clinical course death group patient covid- ace common snp population modulate severity covid- infection independently know marker like gender age comorbiditie
49,currently pneumonia cause coronavirus disease  covid- pandemic date specific antiviral treatment disease universal access vaccine challenge observational study show covid- common country high prevalence obesity people covid- high body mass index study obesity increase risk disease severity mortality study aim review mechanism link obesity covid-
50,
51,background obesity type  diabetes td report highly enrich hospitalize covid- patient close correlation obesity td important examine obesity td independently relate covid- hospitalization objective examine causal effect obesity td hospitalize covid- patient mendelian randomization mr research design method sample mr analysis apply genetic marker obesity identify genome wide association study gwas giant consortium instrumental variable ivs obesity genetic marker td identify diagram consortium iv td mr analysis perform hospitalize covid- patient covid- host genetics initiative mr base platform result  class obesity class // show causal risk factor covid- hospitalization td increase risk hospitalization critically ill covid- independent factor conclusion obesity td primary risk factor covid- hospitalization
52,sars cov- highly pathogenic coronavirus cause disease know covid- infect  million people worldwide main form containment pandemic social isolation isolation severity covid- disease uncertainty future economic impact possible cause anxiety adverse effect pandemic literature describe possible association anxiety poor sleep quality exacerbation painful condition gastroesophageal reflux disease increase consumption drug possibility develop enhance sleep bruxism health professional mind possibility overlap different clinical condition mention need multi professional team manage patient
53,beginning covid- pandemic scientific community explore determinant covid  disease severity majority study base hospital patient high risk collider- selection bias present investigation detail risk factor associate overall mortality hospitalization intensive care unit icu admission covid- infection complete population coverage high resolution datum patient characteristic comorbid condition population base observational study comprise resident  year old stockholm region- million inhabitant real time covid- monitoring framework observation period last march  december hazard ratio hr risk factor covid- disease severity assess cox proportional hazard model total  death hospitalization  icu admission relate covid- occur study period kidney failure diabetes obesity increase risk mortality heart failure ischemic heart disease atrial fibrillation hypertension risk hospitalization follow similar pattern admission intensive care differ triage process clearly present certain co morbid condition associate low icu admission observe difference risk mortality hospitalization patient covid  raise important question potentially protective comedication address real time covid- monitoring framework
54,purpose aim study determine real influence bariatric surgery clinical evolution patient infect sars cov- postoperative period method conduct retrospective analysis include group patient present covid- bariatric surgery present  month postoperative primary outcome relate severity covid- measure follow variable presence symptom need hospitalization icu admission invasive ventilation laboratory marker inflammatory response glycemic status micronutrient analyze secondary outcome result  individual operate study period  .% present covid-  .% preoperative period  .% procedure mean age year mean preoperative bmi kg m statistically significant difference group symptom presentation .% p need hospitalization .% p icu admission .% p invasive ventilation .% p quantitative variable absolute lymphocyte count significantly low group present covid- surgery x p conclusion patient covid- sleeve gastrectomy differ statistical significance presence symptom need hospitalization icu admission invasive ventilation
55,coronavirus disease- covid- result infection sars cov- span wide spectrum illness severely ill patient highly elevated serum level certain cytokine considerable cytolytic t cell infiltrate lung observe patient bear low negligible viral burden suggest overactive immune response term cytokine storm contribute severity covid- report safety efficacy baricitinib combine remdesivir dexamethasone retrospective review  hospitalize patient covid- pneumonia tertiary academic medical center patient receive -day course baricitinib -day course remdesivir -day course dexamethasone clinical status biomarker obtain daily outcome assess include mortality duration hospitalization presence shock need supplemental oxygen need non invasive ventilation need mechanical ventilation development thrombosis obesity multiple medical comorbiditie associate hospitalization setting covid- treat patient demonstrate rapid decline c reactive protein crp ferritin d dimer gradual improvement hemoglobin platelet count clinical status   .% treat patient require mechanical ventilation initiate treatment death   .% treat patient require mechanical ventilation initiate treatment death associate low bmi finding support utility immunosuppression jak inhibition moderate severe covid- pneumonia supplementary information online version contain supplementary material available ./s---
56,coronavirus disease  covid- cause highly pathogenic emerge virus call severe acute respiratory syndrome coronavirus  sars cov- knowledge pathogenesis virus infancy investigation pathogenic mechanism sars cov- underway covid- remarkable characteristic wide range disease manifestation severity see individual different ethnic background geographical location effectively manage covid- population sars cov- detection serological response assessment analytic technique critical obtain knowledge risk individual comprehend identify variation disease severity general population level factor contribute variation disease presentation include population density gender age difference comorbid circumstance include diabetes mellitus hypertension obesity genetic factor presumably influence sars cov- infection susceptibility covid- link high risk mortality man certain ethnic group reveal host genetic characteristic affect individual risk death genetic variant involve pathologic process include virus entrance cell antiviral immunity inflammatory response entirely understand sars cov- infection characteristic present review suggest genetic polymorphism influence virus pathogenicity host immunity significant implication understanding interpret matter genetic sars cov- pathogenicity customize integrative medical care base population investigation
57,background aim molnupiravir new oral antiviral drug recently receive emergency use authorization eua usa uk india aim conduct update previous systematic review provide practical clinical guideline molnupiravir patient covid- method systematically search electronic database pubmed google scholar january key mesh keyword result final result phase  study  non hospitalize covid- patient show significant reduction composite risk hospital admission death absolute risk difference confidence interval ci p non significant relative risk reduction rrr rrr death ci  p value report number need treat prevent  death  hospitalization death composite appear closely competitive agent have eua people covid- cost wise molnupiravir comparatively cheap compare agent conclusion molnupiravir useful agent non pregnant unvaccinated adult covid- increase risk severity include hospitalization effective -day onset symptom -day course safe obvious short term effect
58,objective triad obesity high protein diet animal source disturb gut microbiota link poor clinical outcome patient covid- report effect oxidative stress result na(+ -atpase transporter signal cascade explore driver poor clinical outcome method protein protein interaction sars cov- proteome identify interactome datum na(+ -transporte atpase subunit alpha- atpa epidermal growth factor receptor erb b receptor tyrosine kinase curate datum biogrid database protein interactions datum gene expression pattern inflammatory response gene expression omnibus database cardiomyocyte post sars cov- infection number gse result atpa subunit na(+ -atpase transporter target multiple sars cov- protein furthermore receptor protein associate inflammatory response include epidermal growth factor receptor erb b receptor tyrosine kinase  interact atpa target sars cov- protein heightened interaction likely trigger cytokine release increase severity viral infection individual obesity conclusion similarity effect sars cov- protein indoxyl sulphate na(+ -atpase transporter signal cascade suggest possibility augmentation gene change see covid- infection result hyperinduction cytokine release individual obesity
59,introduction aims coronavirus disease- covid- severe course patient myasthenia gravis mg aim assess severity infection factor contribute severity group mg patient hospitalize method outpatient mg follow march  april  include study patient ask respond brief questionnaire person telemedicine electronic message result nineteen patient test positive covid- polymerase chain reaction asymptomatic  symptomatic patient  mild symptom treatment receive antiviral antibiotic anticoagulant myasthenia control infection unaffected covid- patient moderate covid- require hospitalization intensive care recovery patient old cohort severe disease patient postsurgery myasthenic exacerbation infection need intensive care intubation recover completely morbidly obese patient comorbiditie require intubation die corticosteroid increase moderate severely affected patient immunosuppressive agent generally continue hydroxychloroquine hcq covid- patient discussion patient mild covid- patient recover design study possible capture mild case have control mg infection absence comorbiditie likely affect course infection favorably influence progression
60,male severe acute respiratory syndrome coronavirus  sars cov- patient high intensive care unit icu admission rate bad disease course comprehensive analysis female male icu survival underlying factor comorbiditie risk factor and/or anti infection inflammatory therapy administration currently lack investigate association sex icu survival adjust variable multicenter observational cohort study patient sars cov- pneumonia admit seven icu region belgium netherlands germany require vital organ support pandemic wave include random intercept center mixed effect logistic regression investigate association sex icu survival model adjust age acute physiology chronic health evaluation ii apache ii score comorbiditie anti infection inflammatory therapy interaction term add investigate effect modification sex country sex obesity total  patient female include mean age year female obese smoke frequently male p value respectively apache ii score female male comparable overall icu mortality low female male vs respectively p value  respectively icu survival female sars cov- patient high male patient independent age disease severity smoking obesity comorbiditie anti infection inflammatory therapy country sex specific biological mechanism play role emphasize need address diversity sex specific prediction prognostic therapeutic approach strategy
61,covid- inflammatory syndrome cause novel coronavirus sars cov- symptom range mild infection severe acute respiratory distress syndrome ards require ventilation intensive care time data collection uk case  fatality rate necessitate  critical care admission  million case nutrition important immune function influence metabolic risk factor obesity glycaemic control recovery acute illness poor nutritional status associate bad outcome ards viral infection limited research assess pre morbid nutritional status outcome patient critically unwell covid- objectives investigate effect body mass index bmi glycaemic control vitamin d status outcome adult patient covid- admit intensive care unit icu method retrospective review patient admit central london icu march  confirmed covid- electronic patient record datum analyse patient demographic comorbiditie admission bmi serum vitamin d zinc selenium haemoglobin ac hbac concentration serum vitamin d hbac measure admission  month admission icu primary outcome interest mortality secondary outcome include time intubate icu stay duration icu relate morbidity result seventy patient  man mean age year include overall mortality  significant association mortality observe bmi category survival arm admission hbac mmol mol low vs statistically significant vitamin d status significantly associate mortality p=. patient low vitamin d iu l. serum zinc selenium vitamin b folate level measure patient respectively discussion conclusion increased adiposity deranged glucose homeostasis potentially increase risk covid- infection severity possibly relate impaired lung metabolic function increase proinflammatory prothrombotic mechanism vitamin d deficiency associate poor outcome mortality support possible role vitamin d immune function specific pulmonary inflammation covid- pathophysiology plausible association raise bmi glycaemic control vitamin d status poor prognosis see wide study service evaluation audit wave pandemic uk limited datum set available analysis association reach statistical significance research need specific nutritional marker influence critical care admission covid-
62,objective overweight obesity identify risk factor severe covid- prospective cohort study investigate association overweight early life severity covid- lack method study include swedish man bear  bmi register age  year follow january covid- case comorbiditie identify national patient intensive care cause death registry outcome include follow hospitalization intensive care unit admission death result study find case mean age year sd patient hospitalize covid-  admit intensive care unit altogether  death risk hospital admission increase high value bmi age  year despite adjustment comorbiditie odd ratio ci bmi  ci bmi /= compare bmi or intensive care unit admission ci bmi  ci bmi /= conclusion high bmi early adulthood associate severe covid- year later risk increase start bmi underline necessity preventive action overweight youth offer protection come viral pandemic
63,clinical course coronavirus disease  covid- complicate onset venous thrombosis thromboembolism vte encompass pulmonary thrombosis recent statistic attest cumulative frequency vte high covid- hospitalize patient increase nearly  depend systematic screening severe illness mechanical ventilation intensive care unit admission risk venous thrombosis limit active phase disease directly associate genetic i.e. inherit prothrombotic predisposition demographical factor male sex overweight obesity disease severity risk increase progressively hospitalization development severe illness high patient need mechanical ventilation and/or intensive care presence extent pulmonary disease coexistence multiple risk factor immobilization mechanical ventilation co- superinfection increase value inflammatory thrombotic biomarker different phenotype pulmonary thrombosis develop covid- patient cause typical embolization peripheral venous thrombosis e.g. deep vein thrombosis second type trigger local inflammation nearby pulmonary tissue attributable prothrombotic state consequent pronounce systemic inflammatory response i.e. call cytokine storm frequently observe covid- pathogenesis condition different feature discrimination essential diagnostic therapeutic purpose prognosis covid- patient develop pulmonary thrombosis considerably bad probably need frequent monitoring aggressive therapeutic management
64,background hypertension diabetes obesity common comorbiditie portend bad outcome coronavirus disease  covid- metabolic syndrome common denominator condition study aim characterize association metabolic syndrome surrogate biomarker severity covid- illness method retrospective study include adult patient test covid- academic tertiary care institution march metabolic syndrome define modify world health organization criterion outcome hospitalization intensive care unit icu admission death analyze result patient test covid-  .% positive result metabolic syndrome present   patient available datum patient metabolic syndrome tend old male african american heavy comorbiditie metabolic syndrome associate high rate hospital admission death p multivariable analysis patient metabolic syndrome increase risk hospitalization icu admission death p high ast alt tg hdl c ratio associate hospitalization icu admission mortality conclusion patient metabolic syndrome significantly bad hospitalization mortality rate covid- adjust covariate target obesity hyperglycemia dyslipidemia hypertension address modifiable risk factor reduce mortality covid-
65,objective wuhan chinese city lockdown coronavirus disease  covid- outbreak springtime purpose study investigate relationship sleep status body mass index anxiety depression college student post pandemic era university wuhan china method total  college student complete online survey december  january collect datum include gender age school native place grade major body mass index bmi score self assessment list sleep srss zung self rating anxiety scale sas zung depression self rating scale sds result  valid questionnaire .% receive respondent prevalence insomnia overweight obesity anxiety depression .% .% .% respectively female student likely insomnia anxiety male student rate insomnia overweight obesity postgraduate high undergraduate non medical student likely overweight obese medical student addition insomnia severity positively correlate anxiety severity bmi positively correlate anxiety depression severity positive correlation severity anxiety depression conclusion post pandemic era insomnia depression common problem college student wuhan suggest strengthen sleep education college student improve sleep disorder psychosomatic health
66,type  diabetes td obesity independent risk factor increase morbidity mortality associate influenza sars cov- infection skewed cellular metabolism shape immune cell inflammatory responsiveness function obesity td infection alter immune cell responsiveness level systemic proinflammatory mediator partly independent peripheral immune cell contribution link sars cov associate disease severity despite knowledge role tissue parenchymal cell drive inflammatory response specifically dominantly modify obesity e.g. adipocyte influenza sars cov- infection pathogenesis remain poorly define obesity dependent skewing adipocyte cellular metabolism uncover inflammatory clade promote existence pathogenic inflammatory adipocyte phenotype amplify sars cov- infection disease severity individual obesity individual obesity td examine knowledge gain study immune cell response obesity td infection highlight key knowledge gap underlie adipocyte cellular function sculpt grease pathogenic process associate influenza sars cov- disease severity diabetes
67,immune response dysregulation play key role severe acute respiratory syndrome coronavirus  sars cov- pathogenesis study evaluate immune endothelial blood cell profile patient coronavirus disease  covid- determine critical difference mild moderate severe covid- spectral flow cytometry examine suite immune phenotype include monocyte t cell nk cell b cell endothelial cell neutrophil alongside surface intracellular marker activation result show progressive lymphopenia depletion t cell subset cd(+ cd(+ cd(+ patient severe disease significant increase cd(+)cd(+)ki(+)ifn gamma(+ monocyte population patient moderate severe covid- previously describe enhance circulate endothelial cell cd(-)cd(+)cd(+)cd(+ circulate endothelial progenitor cd(-)cd(+)cd(+/-)cd(- neutrophil cdb(+)cdb(+ coevaluate covid- severity spearman correlation analysis demonstrate synergism age obesity hypertension upregulated cd(+ monocyte endothelial cell decrease t cell lead severe outcome sars cov- infection circulate monocyte endothelial cell represent important cellular marker monitor postacute sequela impact sars cov- infection convalescence role immune host defense high risk adult vaccination
68,evidence suggest severe coronavirus disease- covid- infection characterise pulmonary systemic microvasculature dysfunction specifically acute endothelial injury hypercoagulation increase capillary permeability diabetes characterise vascular injury confer increase risk adverse covid- outcome suggest pre existing endothelial dysfunction microvascular disease diabetes exacerbate vascular insult associate covid- lead increase severity covid- infection article evaluate current evidence explore impact microvascular complication form diabetic retinopathy nephropathy individual covid- diabete future insight gain explore microvascular injury pattern clinical outcome come influence care delivery algorithm condition
69,coronavirus disease covid- pandemic extend late  continue day degree disease relate factor include age comorbiditie obesity widely consider main factor infection mainly show individual obese severe course infection covid- review study summarize relationship risk obesity covid- detect difference reporting period pandemic china recent study obesity risk factor develop sign symptom patient covid- review benefit clinician recognize role obesity give covid- diagnosis follow treatment program
70,importance obesity established risk factor severe covid- infection know lose weight associate reduce adverse outcome covid- infection objective investigate association successful weight loss intervention improve risk severity covid- infection patient obesity design setting participant cohort study involve adult patient body mass index  high calculate weight kilogram divide height meter square undergo weight loss surgery january december cleveland clinic health system cchs patient surgical group match patient surgical intervention obesity control group source datum cchs electronic health record follow conduct march exposure weight loss surgery include roux en y gastric bypass sleeve gastrectomy main outcomes measure distinct outcome examine covid- outbreak march weight loss cause mortality assess enrollment date march covid related outcome analyze patient covid- diagnosis march march positive sars cov- test result hospitalization need supplemental oxygen severe covid- infection composite intensive care unit admission need mechanical ventilation death result total  patient median iqr age  year .% female individual median iqr body mass index  enrol overall median iqr follow duration year covid- outbreak patient surgical group compare control patient lose weight mean difference  year baseline ci percentage point p low cumulative incidence cause non covid- mortality ci .%-.% vs ci .%-.% p  enrol patient  available march assessment covid related outcome rate positive sars cov- test result comparable surgical control group ci .%-.% vs ci .%-.% p undergo weight loss surgery associate low risk hospitalization adjust hazard ratio hr ci p need supplemental oxygen adjust hr ci p severe covid- infection adjust hr ci p conclusion relevance cohort study find patient obesity substantial weight loss achieve surgery associate improve outcome covid- infection finding suggest obesity modifiable risk factor severity covid- infection
71,pre exist comorbiditie obesity metabolic disease adversely affect clinical outcome covid- chronic metabolic disorder globally rise consequence unhealthy diet refer western diet time syrian hamster model demonstrate detrimental impact continuous high fat high sugar diet covid- outcome observe increase weight loss lung pathology exudate vasculitis hemorrhage fibrin edema delay viral clearance functional lung recovery prolonged viral shedding accompany altered significantly different systemic il- il- profile dysregulate serum lipid response dominate polyunsaturated fatty acid contain phosphatidylethanolamine partially recapitulate cytokine lipid response associate severe human covid- datum support hamster model test restrictive target diet immunomodulatory therapy mediate adverse effect metabolic disease covid-
