,processed_text
48,background background sars cov- virus large rna virus include coronavirus group show tropism airway epithelial cell sars cov- cause acute respiratory infectious disease covid- accord report mortality covid- high elderly burden comorbiditie diabetes obstructive pulmonary disease coronary artery disease cancer hypertension hepatitis b obesity chronic kidney disease objective aim study review current literature influence importance vitamin d level course sars cov- infection material method systematic review study publish january  june  perform purpose bibliographic database pubmed scopus search follow keyword combination covid- vitamin d -hydroxy vitamin d vitamin d supplementation sars cov- result show vitamin d play important role mechanism innate immunity course acute respiratory infection overlap factor severity covid- disease vitamin d deficiency prevalence obesity age scare ethnicity lead researcher hypothesize vitamin d supplementation promise preventive therapeutic measure covid- conclusion important factor immunomodulatory character vitamin d adequate supplementation preventive therapeutic measure case sars cov- infection especially elderly people obesity chronic disease
49,omicron variant sars cov- spike mutant b carry -point mutation structure  localize receptor bind domain rbd allow hypothesize relevant change interactivity ace previous report hypothesize bad outcome covid- disease diabetes mellitus condition relate non enzymatic glycation ace receptor silico evaluation lead demonstration number interaction decrease comparison unmodified model possibly shift virus attack different multiple alternative entry route give evidenced feature variant aim investigate computational approach characteristic omicron sars cov- respect binding human ace- receptor particular population people affect diabetes mellitus risk unfavorable outcome covid- computational analysis consider case lysine residue system subject non enzymatic glycation confirm lysine glycation cause general loss interactivity wild type wt)-spike rbd ace omicron variant lys mutate asparagine prevent possible non enzymatic glycation residue non enzymatic glycation cause shift way virus enter cell ace mediate mechanism pathway case omicron variant ace mediate approach virus remain important event account interaction profile analysis molecular mechanic generalize bear surface area mm gbsa calculation suggest omicron spike rbd maintain high affinity ace subsequently non enzymatic glycation respect wt spike rbd finding present computational study suggest different clinical relevance omicron variant diabetes mellitus field possible direction low severity disease
50,background patient hospitalize coronavirus disease  covid- pulmonary infection sequelae impaired exercise capacity aim determine frequency long term exercise capacity limitation survivor severe covid- pulmonary infection factor associate limitation method patient severe covid- pulmonary infection enrol  month hospital discharge covulnerability prospective cohort undergo cardiopulmonary exercise testing pulmonary function test echocardiography skeletal muscle mass evaluation result  patient include reduce exercise capacity vopeak predict compare patient normal exercise capacity patient reduce exercise capacity man .% vs. .% p diabetes .% vs. .% p renal dysfunction .% vs. .% p differ term initial acute disease severity altered exercise capacity associate impaired respiratory function assess decrease force vital capacity p fev p total lung capacity p dlco p uncover decrease muscular mass index grip test reduce exercise capacity group p p respectively whilst .% patient low exercise capacity sarcopenia compare .% normal exercise capacity p myocardial function normal similar systolic diastolic parameter group whilst reduce exercise capacity associate slightly short pulmonary acceleration time despite pulmonary hypertension conclusion month severe covid- pulmonary infection patient impairment exercise capacity associate reduce pulmonary function reduce skeletal muscle mass function significant impairment cardiac function
51,objective despite numerous study coronavirus disease  covid- datum impact pre existing diagnosis alzheimer disease ad parkinson disease pd susceptibility outcome covid- limited aim determine patient ad pd high likelihood contract covid- experience bad outcome method datum patient confirmed diagnosis covid- n january june  control participant n randomly select match patient basis age sex extract korean national health insurance database pre exist diagnosis ad pd identify base medical claim code association pre exist ad pd contracting covid- develop severe covid- die covid- examine logistic regression model participant age sex income comorbidity score history hypertension diabete assess covariate result covid- case likely pre exist ad diagnosis adjust odd ratio aor confidence interval ci p value control covid- case likely pre existing pd diagnosis control estimate reach statistical significance aor ci p value pre exist ad relate severe disease mortality covid- aor ci aor ci pre exist pd associate mortality aor ci associate severe disease aor ci conclusion find covid- infection significantly associate pre existing diagnosis ad pre existing diagnosis pd patient pre exist ad high odd develop severe covid- die pre exist pd associate high odd develop severe covid-
52,background objective coronavirus disease  covid- report china year ago primarily lung infection associate cough fever spread rapidly world declare pandemic early  million people infect million death worldwide date approximately death occur covid- united states number continue rise extrapulmonary manifestation disease acute kidney injury aki cardiovascular event gastrointestinal gi indication emphasize initially subsequent study united states canada note gi involvement disease large number case group take care patient early phase pandemic observe frequent presentation gi symptom diarrhea hepatic dysfunction study examine method undertake retrospective study  consecutive adult patient hospitalize center confirmed covid- infection view elucidate gi hepatic involvement early breakout march -may illness result major comorbiditie associate illness cohort patient include hypertension htn diabetes mellitus dm obesity chronic kidney disease ckd common gi manifestation diarrhea interestingly third patient liver function abnormality common liver function abnormality elevate serum aspartate aminotransferase ast elevated ast significantly correlate p inflammatory marker d dimer lactate dehydrogenase ldh ferritin aki bi variate analysis salient observation study include high mortality frequent aki cardiovascular event male patient p liver injury cohort suspect multifactorial involve excessive cytokine release viral infiltration hepatocyte cholangiocyte play role transaminitis mean /-sd duration hospital stay day admission icu overall mortality significant difference african americans caucasians patient admit icu high mortality rate compare admit intermediate care imc)/acute care severity illness associated pulmonary complication conclusion study evaluate presence comorbiditie dm htn obesity patient hospitalize covid- community hospital mid atlantic region united states statistical analysis datum obtain cohort reveal high frequency gi symptom diarrhea predominant common initial manifestation disease serum ast elevation common correlate inflammatory marker aki male gender significantly associate development aki high frequency cardiovascular event increase mortality overall mortality note high mortality patient admit icu compare imc floor observation spur future investigation role comorbiditie development diarrhea hepatic dysfunction covid-
53,covid- renin angiotensin system ras link angiotensin convert enzyme  ace key enzyme ras validate sars cov- receptor functional ace ace gene polymorphism lead imbalance ace ace ratio generate ras imbalance associate high degree lung damage ards contribute covid- infection outcome investigate role ras gene polymorphism ace ag ace ga risk predictor susceptibility severity covid- infection total  include negative control history covid- infection n positive control history covid- infection hospitalize n patient severe covid- infection hospitalize intensive care unit n rs ace rs ace genotype pcr rflp method result indicate susceptibility covid- infection associate age gg genotype ag pa ci pc ci gg genotype ga pa ci pc ci g allele ag pa ci pc ci g allele ga pa ci pc ci .- frequent icu admit patient positive control group lung involvement covid- infection associate age comorbiditie diabetes conclusion finding support association wild genotype gg ace homozygote genotype gg ace sensitivity covid- infection severity confirmation hypothesis require study participant
54,introduction coronavirus disease  covid- vaccine protect severe illness datum post vaccination covid- breakthrough infection limited method analytical cross sectional study conduct  july   covid positive healthcare worker divide vaccinate group n= unvaccinated group n= pre test questionnaire circulate healthcare worker google forms chest compute tomography ct severity score primary outcome variable analyze coguide result average age study population  year group year respondent male hypertension diabetes common underlie disease significant difference age cardiac disease observe group p p gender hypertension diabete unvaccinated respondent increase ct severity score difference study group significant p vaccinate individual  .% receive vaccination dose  .% receive dose ct severity score decrease receive vaccination dose difference ct severity score vaccination status significant p conclusion covid- mild vaccinated group chest ct severity score index consider efficient tool predict prognosis monitor disease patient covid- india
55,aim determine level follicular helper t tfh follicular regulatory t tfr cell covid- patient determine level correlate disease severity presence hyperglycemia study carry  hospitalize covid- patient  healthy control level total circulate tfh inducible t cell costimulator icos)+ activate tfh tfr cell assess participant flow cytometry total cd+cxcr+ tfh cell icos+foxp activate tfh cell increase icos+foxp+ tfr cell decrease covid- patient especially diabetic patient severe disease activate icos+ tfh cell directly correlate lactate dehydrogenase d dimer ferritin respiratory rate inversely correlate partial pressure carbon dioxide covid- associate marked activation tfh cell profound drop tfr cell especially severe diabetic patient future study expand cohort patient need clarify relationship sars cov- acute onset diabetes
56,background high prevalence severity formidable morbidity mark recent emergence novel coronavirus disease covid- pandemic significant association pre existing co morbid condition increase disease burden global health emergency push patient healthcare worker facility verge complete disruption method meta analysis pooled datum undertake assess cumulative risk assessment multiple co morbid condition associate severe covid- pubmed scopus google scholar search january st june th  generate order analytical critical review exercise begin key requisite keyword follow inclusion exclusion criterion data extraction quality evaluation final statistical meta analysis risk factor critical severe non critical covid- infection carry microsoft excel ver medcalc ver revman software ver result investigate  eligible study comprise  covid- disease patient represent people republic china prc usa europe n total patient critical severe covid- disease pooled analysis show significant association covid- disease severity risk cardiovascular disease rr p follow diabetes rr p hypertension rr p smoking rr p conclusion review involve sample size  covid- patient wide geographical distribution report focusse association individual risk assessment co morbid condition heightened risk covid- disease present meta analysis cumulative risk assessment co morbidity cardiovascular disease diabetes hypertension smoking signal novel interpretation inherent risk factor exacerbate covid- disease severity consequently exist definite window opportunity increase survival covid- patient high risk co morbid condition timely identification implementation appropriately suitable treatment modality
57,historically vitamin d recognize essential component maintenance musculoskeletal system immunomodulatory role vitamin d health disease gain interest recent year pathology share underlying immunological feature vitamin d show exert potential role evidence pre clinical study vitamin d elicit biological effect innate adaptive immune system furthermore vivo study show administration vitamin d lead change development range immune relate disease encourage hypothesis datum derive clinical epidemiological study connect vitamin d incidence severity immune mediate disorder rheumatoid arthritis diabetes infectious disease immune mediate disease share similar feature viral infection covid- review examine area role vitamin d disease
58,year pass outbreak report time wuhan coronavirus disease  covid- severe acute respiratory syndrome sars)-cov- coronavirus rapidly evolve pandemic infectious disease stress global health care system mortality rate high particularly elderly population patient comorbiditie hypertension diabetes mellitus cardiovascular disease chronic lung disease chronic renal disease malignancy subject diabetes high risk develop severe form covid- increase mortality diabetes contribute covid- severity remain unclear hypothesize correlate effect hyperglycemia systemic inflammatory response immune system dysfunction vitamin d vd modulator immune response datum literature show vitamin d deficiency covid- patient increase covid- severity likely negative impact immune inflammatory response use vitamin d play role aspect infection particularly inflammatory state immune system function patient piece evidence highlight link vitamin d deficiency obesity diabetes factor associate covid- severity give background perform overview systematic review assess association vitamin d supplementation inflammatory marker patient diabetes furthermore vitamin d possible role covid- patient assess database medline pubmed central cochrane library systematic reviews retrieve pertinent datum aim review provide insight recent advance molecular basis relationship vitamin d immune response inflammation diabetes covid-
59,covid- endothelial disease major comorbiditie increase risk severe sars cov- infection severe covid- include old age obesity diabetes hypertension respiratory disease compromise immune system coronary artery disease heart failure associate dysfunctional endothelium genetic environmental factor epigenetic major risk factor endothelial dysfunction individual metabolic syndrome increase risk severe sars cov- infection poor covid- outcome high risk mortality old age non modifiable risk factor risk factor modifiable review identify dietary risk factor endothelial dysfunction potential dietary prevention address endothelial dysfunction sequelae important role prevent sars cov- infection severity key factor future research address review present dietary bioactive demonstrate efficacy dysfunctional endothelial cell review cover dietary bioactive efficacy sars cov- infection dietary bioactive compound prevent endothelial dysfunction sequelae especially gastrointestinal tract result effective prevention sars cov- variant infection severity key factor future food research address
60,coronavirus disease  covid- epidemic cause sars cov- severe acute respiratory syndrome coronavirus population risk develop complication people chronic disease diabetes hypertension elderly severe symptom sars cov- infection associate immune failure dysfunction approach strengthen immunity right choice order save life review aim provide overview current information reveal importance bee product strengthen immune system covid- highlight immunomodulatory antiviral effect zinc polyphenol actively contribute improve symptom prevent complication cause covid- counteract viral infection review pave way conduct advanced experimental research evaluate zinc polyphenol rich bee product prevent reduce severity covid- symptom
61,context effect coronavirus disease  covid- pandemic incident case pediatric type  diabetes td type  diabetes td clear objective identify trend incidence presentation pediatric new onset td td covid- pandemic method retrospective chart review conduct demographic anthropometric initial laboratory result patient age   year present new onset diabetes pediatric tertiary care center record result pandemic incident case pediatric td increase  prior  year increase incident case pediatric td increase  number incident case pediatric td increase significantly number incident case pediatric td p patient td likely present diabetic ketoacidosis dka statistically significant p severe dka high compare moderate dka p incident case pediatric td pandemic time incident case td account half newly diagnose pediatric diabetes case conclusion incident pediatric td td case increase dka severity td presentation covid- pandemic importantly incident td case high incident td pandemic clearly suggest disruption change pediatric diabetes trend profound individual community health consequence
62,sidemast societa italiana di dermatologia medica chirurgica estetica e delle malattie sessualmente trasmesse contribute development present guideline systemic treatment chronic plaque psoriasis euroguiderm sidemast adapt guideline italian healthcare context supply reliable affordable tool italian physician care patient affect moderate severe plaque psoriasis content guideline include general information scope purpose health question cover target user strength limitation guideline suggestion disease severity grading treatment goal present general treatment recommendation detailed management monitoring recommendation individual drug include acitretin cyclosporine fumarate methotrexate adalimumab apremilast brodalumab certolizumab pegol etanercept guselkumab infliximab ixekizumab risankizumab secukinumab tildrakizumab ustekinumab guideline provide guidance specific clinical situation patient concomitant psoriatic arthritis inflammatory bowel disease history malignancy history depression diabetes viral hepatitis disease affect heart kidney concomitant neurological disease advice screen tuberculosis recommendation manage patient positive tuberculosis test result give cover treatment pregnant woman childbeare potential information vaccination immunogenicity systemic treatment covid- pandemic provide
63,background inhale corticosteroid establish long term treatment inflammatory respiratory disease asthma chronic obstructive pulmonary disease investigate treatment coronavirus disease  covid- anti inflammatory action inhale corticosteroid potential reduce risk severe illness result hyperinflammation covid- objective assess inhale corticosteroid effective safe treatment covid- maintain currency evidence living systematic review approach search method search cochrane covid- study register include central pubmed embase clinicaltrials.gov ictrp web science science citation index emerging citation index covid- global literature coronavirus disease identify complete ongoing study  october selection criterion include randomised control trial rct evaluate inhale corticosteroid covid- irrespective disease severity age sex ethnicity include follow intervention type dose inhale corticosteroid include follow comparison inhale corticosteroid plus standard care versus standard care placebo exclude study examine nasal topical steroid data collection analysis follow standard cochrane methodology risk bias assessment cochrane rob  tool rate certainty evidence grade approach outcome mortality admission hospital death symptom resolution time symptom resolution adverse event adverse event infection main result inhale corticosteroid plus standard care versus standard care placebo people confirm diagnosis moderate severe covid- find study include people confirm diagnosis moderate severe covid- people confirm diagnosis asymptomatic sars cov- infection mild covid- include rct allocate  participant  confirm mild covid- analyse subset total number participant recruit study female trial platform design participant allocate treatment group simultaneously include study community base recruit people able use inhaler device deliver steroid rely remote assessment self reporting outcome people old  year co morbidity hypertension lung disease diabetes study conduct high income country prior wide scale vaccination programme total  participant analyse inhaled corticosteroid arm budesonide  participant ciclesonide  participant  participant control arm study include people asymptomatic sars cov- infection respect follow outcome inhale corticosteroid compare standard care result little difference cause mortality day risk ratio rr confidence interval ci  participant low certainty evidence absolute term mean death  people receive inhale corticosteroid death  people receive intervention ci    people probably reduce admission hospital death  day rr ci  participant moderate certainty evidence probably increase resolution initial symptom day  rr ci  participant moderate certainty evidence reduce duration symptom resolution day day ci control group rate  day  participant low certainty evidence evidence uncertain effect adverse event study period rr ci  participant low certainty evidence result little difference adverse event day rr ci  participant low certainty evidence result little difference infection study period rr ci  participant low certainty evidence study report outcome subgroup e.g. age ethnicity sex perform subgroup analysis author conclusion people confirmed covid- mild symptom able use inhaler device find moderate certainty evidence inhale corticosteroid probably reduce combine endpoint admission hospital death increase resolution initial symptom day low certainty evidence suggest corticosteroid little difference cause mortality day  decrease duration symptom resolution know inhale corticosteroid increase decrease adverse event heterogeneity way report study low certainty evidence inhale corticosteroid decrease infection evidence identify come study high income setting budesonide ciclesonide prior vaccination roll out identify lack evidence concern quality life assessment adverse event people asymptomatic infection moderate severe covid-  ongoing complete unpublished rct identify trial registry address similar setting research question current body evidence expect incorporate finding study future version review monitor newly publish result rct inhale corticosteroid weekly basis update review evidence certainty evidence change
64,background aim renin angiotensin system ras key mediator cardiovascular homeostasis main axis classic include angiotensin convert enzyme ace angiotensin ang ii promote vasoconstriction alternative include ace ang- opposed action angii ace identify main receptor sars cov enter cell lead downregulation surface ace ras tissue unbalance give diabetes associate increase covid- severity death aim evaluate ras expression patient type  diabetes td method result case control study compare  td patient  control median age   year comorbiditie ace ace gene expression assess peripheral blood mononuclear cell td patient high ace expression circulate angii relate glucose level td patient low ace expression ace expression relate sex participant high female group td woman increase ace expression see control woman conclusion td promote increase ace angii ace ace contribute high cardiovascular risk severe tissue injury induce sars cov patient ratio ace ace differ man woman td explain cvd covid- substantial gender difference patient
65,severe acute respiratory syndrome coronavirus  sars cov- responsible current coronavirus disease  covid- pandemic affect  country cause death  million people worldwide genetic background represent factor predispose way host respond sars cov- infection sense genetic variant ace ace explain observed interindividual variability covid- outcome order improve understanding genetic variant ace ace involve severity covid- include total  individual show clinical manifestation covid- diagnose reverse transcription pcr rt pcr genomic dna extract peripheral blood saliva sample ace insertion deletion polymorphism evaluate high resolution melting method ace single nucleotide polymorphism snp rs ace snp rs rs genotype taqman probe assess association ace ace polymorphism disease severity logistic regression analysis adjust age sex hypertension type  diabetes obesity severity illness study population divide mild severe critical illness additionally individual die male result show codominant model contribution ace gene rs t t genotype critical outcome odd ratio ci p require oxygen supplementation ci p addition strong association t allele variant develop critical illness male individual ci p suggest t allele rs represent risk factor severe critical outcome covid- especially man regardless age hypertension obesity type  diabetes
66,coronavirus disease  cause severe acute respiratory syndrome coronavirus  usually mild condition case result severe sickness death understand reason grave outcome great importance coronavirus disease  periodontitis share intriguing characteristic lead systemic inflammation alteration coagulation pathway share confounding factor diabetes hypertension obesity accordingly possible association condition hypothesize literature objective review evaluate scientific evidence link disease possible underlying mechanism evidence show coronavirus disease  present oral manifestation affect periodontal tissue study show possible association coronavirus disease  severity presence periodontitis current evidence suggest association explain direct role periodontal bacteria aggravating lung infection indirect effect periodontiti induce systemic inflammation priming immune system exacerbate reaction severe acute respiratory syndrome coronavirus  infection future research need confirm observation explore possible role periodontal care play coronavirus disease  pandemic
67,aim introduction diabetes mellitus report risk factor increase coronavirus disease  covid- severity mortality report japan association diabetes mellitus covid- severity mortality investigate single japanese hospital materials method patient aged /= year admit osaka city general hospital covid- treatment april  march  include retrospective observational study multivariable logistic regression analysis carry examine diabetes mellitus contribute covid relate death severity result  patient include  .% require invasive ventilation  .% die hospital diabetes group n significantly old obese long hospital stay severe illness high mortality non diabetes group n multivariable logistic regression analysis age odd ratio confidence interval ci body mass index ci history diabetes mellitus ci neutrophil count ci c reactive protein ci krebs von den lungen- ci .- predictor covid- severity r age ci krebs von den lungen- ci .- predictor covid relate death r conclusion diabetes mellitus definite risk factor covid- severity single japanese hospital treat moderately severely ill patient
68,background coronavirus disease  covid- continue circulate change affect billion people worldwide lead increase mortality rate especially holy city makkah kingdom saudi arabia ksa study aim investigate epidemiological feature covid- makkah city ksa method retrospective analysis conduct investigate prevalence covid- association severity mortality covid- demographic factor comorbiditie result covid- patient incidence rate observe male .% noor specialized hospital high incidence rate .% find age group  year old follow age group year furthermore high frequency observe patient saudi arabia .% follow patient myanmar .% bangladesh .% overall frequency covid- severity death .% respectively body mass index analysis show patient underweight .% overweight .% obese addition .% diabetes .% hypertension .% heart disease .% chronic disease conclusion study conclude overall percentage severe covid- intensive care unit case death makkah city ksa .% respectively high incidence male patient severity infection show strong significant correlation different chronic disease nationality body mass index death rate mortality heart disease length hospital stay p despite finding study need explain underlie mechanism influence overall health status patient specific characteristic comorbiditie
69,covid- disease knowledge construction high transmissibility consensual treatment available identification patient high risk evolve critical form disease fundamental study aim determine risk factor associate severity covid- adult patient observational retrospective study cohort adult patient covid- admit public hospital march august medical record evaluate association possible severity predictor poisson regression primary outcome critical form disease need admission intensive care unit and/or invasive mechanical ventilation include  patient man .% progress critical form disease year old hypertension diabetes mellitus obesity frequent comorbiditie .% patient progress critical form disease hospital mortality rate critical patient independent factor associate severity disease obesity rr ci p spo fio ratio  mg l rr ci p lymphocyte rr ci p advanced age comorbiditie dependent factor strongly associate critical form disease
70,coronavirus disease- covid- infectious disease cause sars cov- virus microbe inhabit oral cavity gut play crucial role maintain favorable gut environment relationship sars cov- infection susceptibility severity fully explore study investigate diversity species richness gut oral microbiota patient covid- possible implication severity patient illness clinical outcome seventy n clinical sample gut oral collect  hospitalize patient covid- clinical condition  apparently healthy people serve control amplicon base metagenomic sequencing study yield pair end read map  phylum  classify genera bacteria alpha beta diversity analysis reveal distinct dysbiosis gut oral microbial community patient covid- compare healthy control report sars cov- infection significantly reduce richness evenness gut oral microbiome despite show high unique operational taxonomic unit gut gut sample patient covid- include  opportunistic bacterial genera escherichia shigella bacteroides detect signature genera gut patient covid- diarrhea relatively high abundance streptococcus find patient covid- have breathing difficulty sore throat bdst patient covid- significantly low abundance prevotella oral cavity compare healthy control patient covid- diabetes respectively altered metabolic pathway include reduction biosynthesis capability gut oral microbial consortium sars cov- infection observe present study shed light interaction sars cov- resilient oral gut microbe contribute develop microbiome base diagnostic therapeutic deadly pandemic disease
71,background patient infect severe acute respiratory syndrome coronavirus sars cov- develop severe illness necessitate intensive care admission critically ill patient susceptible development secondary bacterial infection combination virus- drug induce immunosuppression critically ill patient corona virus disease  covid- high risk develop secondary infection secondary infection aggravate severity illness increase risk death research secondary infection covid- patient essential objective study investigate incidence associated risk factor secondary bacterial infection identify common group pathogen critically ill covid- patient method mono center retrospective observational cohort study perform intensive care unit icu jessa hospital hasselt belgium adult covid- patient admit icu th march  th october eligible inclusion study datum result  patient prospectively enter customized database result database retrospectively investigate type secondary bacterial infection secondary pneumonia bloodstream infection unknown origin catheter relate sepsis result  include patient acquire study secondary bacterial infection icu stay third patient .% n acquire secondary pneumonia n acquire bacteremia unknown origin small proportion patient .% n acquire catheter relate sepsis male gender p diabetes mellitus p cumulative dose corticosteroid p associate increase risk secondary bacterial infection common pathogen detect culture patient secondary pneumonia gram negative bacilli bacteremia unknown origin catheter relate sepsis cause gram positive coccus conclusion study confirm incidence secondary bacterial infection high critically ill covid- patient patient high risk develop secondary pneumonia male gender history diabetes mellitus administration corticosteroid associate increase risk secondary bacterial infection
72,background coronavirus disease  covid- account  million case million death globally affect population nation develop transitional gender age extent specific involvement known study aim analyze determine different second wave covid- pandemic assess compute tomography severity score ct ss methodology retrospective cross sectional observational study perform tertiary care institution include  patient undergo ct chest june october  patient undergo ct chest february april include patient symptomatic confirm covid- positive compare ct ss dataset addition analyze distribution ct ss concern age comorbiditie gender difference wave covid- analysis perform spss version  ibm corp. armonk ny usa artificial intelligence platform u net architecture xception encoder analysis result study datum reveal mean ct ss differ statistically wave covid- age group affect second wave decade young overall disease predilection affect male finding show female afflict second wave covid- compare wave particular disease increase severity case comorbiditie hypertension diabetes mellitus bronchial asthma tuberculosis conclusion assessment demonstrate significant difference radiological severity score wave covid- secondary objective reveal wave show demographical difference iterate demographical subset population consider low risk disease manifestation heterogeneous
73,renin angiotensin system ras complex hormonal regulatory system involve organ interact regulate multiple body function study system initially focus investigate role regulation cardiovascular function related pathology approach pharmacological strategy develop treatment cardiovascular disease new finding recent decade suggest ras complex comprise subsystem classic ras alternative ras antagonistic effect usually equilibrium classic system involve pathology inflammatory hypertrophic fibrotic phenomenon common relate development chronic disease affect body system understanding reinforce evidence local renin angiotensin system exist tissue type role ras spread severity covid- infection discover viral entry cell respiratory system accomplish bind angiotensin convert enzyme present alveolar epithelium overexpresse patient chronic cardiometabolic disease narrative review preclinical clinical aspect ras present topic future research discuss aspect raise clarify future investigation system
74,introduction evidence presence coronavirus kidney resultant acute kidney injury aki information effect chronic kidney disease ckd covid- outcome pathogenesis currently lack method retrospective observational study evaluate outcome consecutive patient hospitalize covid- outbreak meir medical center serum creatinine level assess hospitalization baseline serum creatinine admission minimum maximum serum creatinine level hospitalization result  patient  egfr  ml min term ckd group  patient serve control patient ckd group old high prevalence hypertension diabetes mellitus atherosclerosis disease severity clinical presentation ckd group comparable control group odd ratio aki ci p ckd group vs. control group ci .- renal replacement therapy p ckd group .% die covid- infection versus .% control p mortality increase ckd stage increase .% control .% ckd stage .% ckd stage  p conclusion despite comparable disease severity presentation patient ckd significantly aki event require renal replacement therapy hospitalization control patient mortality increase ckd stage increase
75,purpose outline clinical laboratorial profile patient obesity undergo bariatric surgery present positive reverse transcription polymerase chain reaction rt pcr severe acute respiratory syndrome coronavirus- sars cov- preoperative period symptom presentation method case series  patient undergo bariatric surgery present positive rt pcr sars cov- preoperative period reported symptom datum collect include demographic characteristic length hospital stay wait time surgery inflammatory marker serum level micronutrient dengue virus denv serology result total  patient undergo bariatric surgery institution study period incidence asymptomatic case sample comprise .% woman mean age year mean preoperative body mass index bmi kg m. thirty percent sample previous diagnosis diabetes .% hypertension mean time elapse positive rt pcr operation  day mean length postoperative hospital stay day mean lymphocyte count mean platelet lymphocyte ratio mean c reactive protein value mg dl ferritin mark microg l. denv igg identify patient test mean level vitamin d zinc ng ml microg dl respectively postoperative complication report conclusion include patient present laboratory marker relate disease severity important notice patient test denv specific igg detect serum
76,post acute sequela covid- pasc represent emerge global crisis quantifiable risk factor pasc biological association poorly resolve execute deep multi omic longitudinal investigation  covid- patient initial diagnosis convalescence month later integrate clinical datum patient report symptom resolve pasc anticipate risk factor time initial covid- diagnosis type  diabetes sars cov- rnaemia epstein barr virus viremia specific auto antibody patient gastrointestinal pasc sars cov specific cmv specific cd(+ t cell exhibit unique dynamic recovery covid- analysis symptom associate immunological signature reveal coordinate immunity polarization endotype exhibit divergent acute severity pasc find immunological association pasc factor diminish time lead distinct convalescent immune state detectability pasc factor covid- diagnosis emphasize importance early disease measurement understand emergent chronic condition suggest pasc treatment strategy
77,introduction lack population level datum risk factor impact severe covid- pregnancy aim study determine characteristic maternal perinatal outcome associate severe covid- pregnancy compare mild moderate covid- explore impact timing birth material method secondary analysis national prospective cohort study pregnant woman admit hospital uk symptomatic sars cov- march  october  include severity maternal infection need high flow invasive ventilation intensive care admission die pregnancy perinatal outcome impact timing birth analyze multivariable logistic regression result  pregnant woman n severe infection woman severe infection likely aged year adjust odd ratio aor age confidence interval ci overweight obese aor ci aor ci respectively mixed ethnicity aor ci gestational diabetes aor ci compare mild moderate infection woman severe infection likely pre labor cesarean birth aor ci extreme preterm birth weeks gestation aor ci /= week .% note woman group .% stillbirth conclusion severe covid- pregnancy increase risk adverse outcome information promote uptake vaccination specifically target great risk severe outcome decision timing birth inform multidisciplinary team discussion datum suggest woman severe infection require early delivery good outcome severe infection term warrant rapid delivery
78,abstract background systematic review meta analysis aim assess tricuspid annular plane systolic excursion tapse prognostic tool patient coronavirus disease  covid- method study relationship tapse covid- february standardized mean difference smd confidence interval assess effect size potential publication bias assess contour enhance funnel plot egger test meta regression perform assess difference tapse survivor nonsurvivor affect age sex hypertension diabetes result sixteen study comprise  patient include meta analysis tapse low nonsurvivor smd p subgroup analysis indicate tapse low critically ill patient smd p heterogeneity significantly reduce pooled result show patient develop right ventricular dysfunction low tapse smd p statistically significant difference tapse patient sustain cardiac injury vs smd p significant publication bias detect p heterogeneity include study significant meta regression show heterogeneity significantly great incidence hypertension diabetes conclusion low tapse level associate poor covid- disease outcome tapse level modulate disease severity prognostic utility skew pre exist patient comorbiditie trial retrospectively registered february prospero crd
79,background second covid- wave india associate unprecedented increase case covid- associated mucormycosis cam mainly rhino orbito cerebral mucormycosis rocm method retrospective cohort study conduct noble hospital research centre nhrc pune india  april  august identify cam patient assess management outcome primary endpoint incidence cause mortality cam result  patient diagnose cam median duration positive covid- rt pcr test diagnosis cam  iqr day patient diabetic have uncontrolled sugar level hbac patient prescribe steroid treatment covid- patient prescribe steroid non hypoxemic mild covid- irrational steroid therapy steroid prescribe inappropriately high dose patient treat combination surgical debridement intravenous liposomal amphotericin b concomitant oral posaconazole .% .% patient discharge clinical radiologic recovery .% die relative risk analysis covid- ct severity index p presence orbital symptom p presence diabetic ketoacidosis p cerebral involvement p associate increase risk death conclusion cam rapidly progressive angio invasive opportunistic fungal infection fatal leave untreated combination surgical debridement antifungal therapy lead clinical radiologic improvement majority case
80,coronavirus disease  covid- ongoing global pandemic cause severe acute respiratory syndrome coronavirus  sars cov- severity mortality rate covid- affect factor respiratory disease diabetes hypertension bacterial coinfection factor contribute severity covid- limited study investigate morbidity mortality microbial coinfection covid- patient retrospectively study effect bacterial coinfection intensive care unit icu)-admitted patient covid- asir province saudi arabia analyze electronic medical record hospitalize patient covid- asir central hospital total  patient include clinical datum  patient infect sars cov-  patient coinfecte sars cov- bacterial infection analyze study datum show length stay hospital patient infect sars cov- bacterial infection day compare day patient infect sars cov- p addition high mortality rate associate patient coinfection group compare sars cov infected group vs. .% respectively study show gram negative bacteria commonly isolate bacteria covid- patient conclude study find individual covid- present bacterial infection high risk long stay hospital potentially death study large population warrant well understand clinical outcome covid- bacterial infection
